06/10/2023;Guerreiro;Perdeu;Kobold;11
06/10/2023;Barbaro;Ganhou;Orc;5
06/10/2023;Paladino;Ganhou;MortoVivo;4
06/10/2023;Paladino;Perdeu;Kobold;4
06/10/2023;Paladino;Ganhou;MortoVivo;10
06/10/2023;Paladino;Perdeu;Kobold;3
06/10/2023;Barbaro;Perdeu;Kobold;4
06/10/2023;Barbaro;Perdeu;Kobold;5
06/10/2023;Barbaro;Perdeu;Kobold;2
06/10/2023;Guerreiro;Perdeu;MortoVivo;3
06/10/2023;Guerreiro;Ganhou;Orc;4
06/10/2023;Guerreiro;Perdeu;Kobold;5
06/10/2023;Guerreiro;Perdeu;Orc;3
06/10/2023;Guerreiro;Perdeu;Orc;4
06/10/2023;Paladino;Perdeu;Orc;3
06/10/2023;Guerreiro;Perdeu;MortoVivo;7
06/10/2023;Paladino;Perdeu;Kobold;3
06/10/2023;Barbaro;Ganhou;MortoVivo;2
06/10/2023;Paladino;Ganhou;MortoVivo;5
06/10/2023;Paladino;Perdeu;MortoVivo;7
06/10/2023;Paladino;Perdeu;Kobold;5
06/10/2023;Barbaro;Perdeu;Orc;5
06/10/2023;Paladino;Perdeu;Kobold;4
06/10/2023;Guerreiro;Perdeu;MortoVivo;2
06/10/2023;Paladino;Perdeu;Kobold;2
06/10/2023;Paladino;Ganhou;MortoVivo;14
06/10/2023;Paladino;Perdeu;Orc;2
06/10/2023;Barbaro;Ganhou;MortoVivo;4
06/10/2023;Guerreiro;Perdeu;Orc;2
06/10/2023;Barbaro;Perdeu;Kobold;4
06/10/2023;Guerreiro;Ganhou;MortoVivo;12
06/10/2023;Paladino;Perdeu;Kobold;4
06/10/2023;Paladino;Perdeu;Orc;5
06/10/2023;Barbaro;Ganhou;Kobold;4
06/10/2023;Guerreiro;Perdeu;Orc;2
06/10/2023;Barbaro;Ganhou;Kobold;3
